position,company,location,salary,summary
Data Scientist Snr Manager,Oracle,"Broomfield, CO",,Data Scientist Snr Manager-1700142B. 3+ years in leadership/management of data science/analytic team. Create processes to calibrate any external data with...
Administrative Associate III-Travel (662165),Ball Aerospace,"Lafayette, CO",,"Accounting skills for reconciliations, accruals and daily data analyses with a strong competence in Microsoft Office, especially Excel...."
Data Scientist,Allegiance Consulting,"Denver, CO",,Our client is looking for several Data Scientists for a minimum 6-month project in South Denver. Adept at Data Wrangling /Data Munging....
Technical Systems Manager --Research & Innovation,DANONE,"Louisville, CO",,"Aptitude for training and collaborating with a wide variety of personalities including scientists, engineers, and business partners...."
"Senior Associate, Data Scientist",KPMG,"Denver, CO 80202 (Lodo area)",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
"Manager, Data Analytics",KPMG,"Denver, CO 80202 (Lodo area)",,"Lead the design and development of tools and solutions working with data scientists, data integration teams and visualization experts to deliver analysis that..."
Sr. Copy Writer,Aetna,"Denver, CO",,Collaborate with our UX researchers and data scientists to understand user behaviors and uncover new opportunities for engagement....
Engineer IV – DoD Initiatives,National Renewable Energy Laboratory,"Golden, CO",,Perform site assessments and data collection for the creation of electrical drawings and models. Implement and manage project control systems and metrics and...
Production Control Center Scheduler (662358),Ball Aerospace,"Broomfield, CO",,"Collect and verify production data and calculate statistical data for use in reports. Check and post data to production logs, records, or reports...."
Research Firmware Engineer,Honeywell,"Broomfield, CO 80021",,"Demonstrated understanding of centralized and distributed data storage, managing data access latency, and databases...."
"Senior Software Engineer, Video Insights and Analysis",Comcast,"Denver, CO 80202 (Lodo area)",,Partner with data scientists to productionize machine learning algorithms. Excited about data visualization and telling a story with data....
Planner I - Manufacturing (661476),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Principal Data Scientist - Audience Target Team,Oracle,"Broomfield, CO",,Principal Data Scientist - Audience Target Team-170017IX. Acting as a source of knowledge and mentorship for junior data scientists....
"Director, Data Scientist",KPMG,"Denver, CO 80202 (Lodo area)",,"Retrieve, prepare, and process a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Research Firmware Engineer,Honeywell,"Broomfield, CO 80021",,"Demonstrated understanding of centralized and distributed data storage, managing data access latency, and databases...."
Sr. Asset Management Consultant,HDR,"Denver, CO 80202 (Lodo area)",,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists...."
Principal Data Scientist - Audience Target Team,Oracle,"Broomfield, CO",,Principal Data Scientist - Audience Target Team-170017IX. Acting as a source of knowledge and mentorship for junior data scientists....
Planner I - Manufacturing (661476),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Sr Manager - Model Risk Management,Charles Schwab,"Lone Tree, CO 80124",,"Manager will work with Data Scientists, Statisticians, and Analysts to ensure that all statistically based models are in compliance with the model lifecycle..."
Financial Analyst II-Government Compliance Accountant/Auditor (661744),Ball Aerospace,"Lafayette, CO",,"Develop incurred cost claim schedules, analyze data and clearly report findings in a timely manner. Our team of more than 3,000 engineers, scientists,..."
Administrative Associate III (662029),Ball Aerospace,"Broomfield, CO",,"Gather and interpret data; Prepare various schedules and perform data entry, etc. Our team of more than 3,000 engineers, scientists, technicians and support..."
"Food Scientist, Product Development Innovation",Dean Foods,"Broomfield, CO 80021",,Tactical decision-making ability using sound scientific principles and data analytics. Job Description & Requirements....
"Water Optimization Engineer - Denver, CO",CH2M,"Englewood, CO 80112",,Data analysis proficiency a plus. Database design and data management expertise. Ability to integrate geospatial data into multi-step modeling workflows....
Sr Manager - Model Risk Management,Charles Schwab,"Lone Tree, CO 80124",,"Manager will work with Data Scientists, Statisticians, and Analysts to ensure that all statistically based models are in compliance with the model lifecycle..."
"Sr. Manager, Video Platform Analytics",Comcast,"Denver, CO 80202 (Lodo area)",,"The person in this position will lead a highly skilled engineering team that includes data engineers, data analysts, data scientists, testers, and DevOps..."
Sr. Business Intelligence Project Manager,Chipotle Mexican Grill,"Denver, CO 80202 (Lodo area)",,"Manage portfolio of BI projects, leading a team of data engineers, data architect, data analysts, data scientists, business owners and subject matter experts..."
Associate Mission Systems Analyst (661328),Ball Aerospace,"Westminster, CO",,"Participate in test data collection and evaluation. Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements..."
Supvr Laboratory,UCHealth,"Aurora, CO",,"Middleware – WAM 5.0, Remisol, Data Innovations, CentraLink. Graduate of an accredited Medical Technologist or Medical Lab Scientist program...."
Coord Laboratory,UCHealth,"Aurora, CO",,Bachelor's degree in related field and graduate of an accredited Medical Technologist or Medical Laboratory Scientist program....
Data Scientist(Big Data),Sempera,"Englewood, CO 80112",,"Identify relevant data sources from data warehouses, application logs, partner data sources, research reports, surveys, etc. and able to lead integration into..."
Air Quality Field Engineer or Scientist (Denver),ERM,"Denver, CO",,"ERM is seeking a hands-on Air Quality Field Engineer or Scientist looking for a career opportunity based out of our Denver, Colorado office...."
"Water Optimization Engineer - Denver, CO",CH2M,"Englewood, CO 80112",,Data analysis proficiency a plus. Database design and data management expertise. Ability to integrate geospatial data into multi-step modeling workflows....
STEM Manager,Goodwill Industries of Denver,"Denver, CO",,Monitors the quality of the data submitted through participation in monthly audits of their data with the Program Monitoring and Evaluation (PME) department....
Scientist Process Engineering,UPSHER SMITH,"Denver, CO",,Tabulate and perform statistical analysis of all study data. The Technical Services Scientist - Process Engineering supports activities related to the...
Malware Threat Research Analyst,Webroot,"Broomfield, CO",,You are an information security/malware professional looking to contribute to an innovative and collaborative environment. You have a passion for the thrill...
Data Scientist(Big Data),Sempera,"Englewood, CO 80112",,"Identify relevant data sources from data warehouses, application logs, partner data sources, research reports, surveys, etc. and able to lead integration into..."
Medical Technologist,"SCHRYVER MEDICAL, LLC","Denver, CO 80239",,Reviews and interprets laboratory results and data. Must be a registered or certified Medical Technologist or Clinical Laboratory Scientist or meet equivalency...
Director - ITS Infrastructure and Operations (662016),Ball Aerospace,"Lafayette, CO",,"Create a data driven operations culture. Establishing data driven operations monitoring and response. Manage the data center design, technology implementation,..."
CdTe Thin-Film Materials Processing Engineer,National Renewable Energy Laboratory,"Golden, CO",,Performing work reproducibly with high degree of quality and reliability Recording data in computer databases ....
"Sr Staff Scientist, R&D",DigitalGlobe,"Westminster, CO",,Experience with 3D and elevation data. Please review the job details below....
Associate Range Engineer (662328),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Associate Industrial Engineer (661975),Ball Aerospace,"Westminster, CO",,"Identify and implement ways to automate data collection and analysis. Our team of more than 3,000 engineers, scientists, technicians and support staff drives..."
Associate Structural Engineer (661396),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
"Product Manager, Measurement & Insights - Data Cloud",Oracle,"Broomfield, CO",,"Data visualization is a pet peeve, or at least something that bothers you when it’s done poorly, but you don’t think of yourself as a full-fledged data..."
Software Engineer,NBI Resources,"Aurora, CO",,Our core team of Computer scientists and Data Engineers have a passion for building tools that solve our clients most challenging and complex technical problems...
Global Commercial Senior Director Automotive,TransReach,"Golden, CO",,"Drives, and supports with data, internal decision making on long term growth investments including capital equipment and R&D programs...."
Project Ecosystem Restoration Engineer,SWCA Environmental Consultants,"Broomfield, CO",,You will receive senior guidance and mentoring from two nationally-recognized stream restoration engineers as well as provide the same to staff engineers and...
Data Analyst/Scientist,"Computer Enterprises, Inc.","Centennial, CO 80112",$80 a day,"Responsible for gathering and assessing business information needs and preparing system requirements • Performs analyses, development and evaluation of data..."
Data Scientist/Analyst,"Computer Enterprises, Inc.","Centennial, CO 80112",$85 a day,"Identify relevant data sources from data warehouses, application logs, partner data sources, research reports, surveys, etc. and able to lead integration into..."
Quality Control Manager,Bristol Companies,"Golden, CO",,"Ability to gather and analyze data, reason logically and creatively, draw conclusions and make appropriate recommendations...."
Quality Control Manager,Bristol Alliance of Companies,"Golden, CO",,"Ability to gather and analyze data, reason logically and creatively, draw conclusions and make appropriate recommendations...."
Project Controls Senior Analyst – Tools & Training Group (661856),Ball Aerospace,"Lafayette, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Water Resources Engineer,Kleinfelder,"Denver, CO 80202 (Lodo area)",,"Prepping data for input into hydraulic and hydrologic modeling software using GIS, Excel, CAD, or other data processing software as well as oversee junior staff..."
Mobile Application Developer,Sound Advice Consulting Services,"Denver, CO",,"Team up with our data scientist and analytics guru to help us understand how learners use our product, and how we can give them an even better experience...."
Accountant I-Financial Accounting (662094),Ball Aerospace,"Lafayette, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Software Engineer,NBI Resources,"Aurora, CO",,Our core team of Computer scientists and Data Engineers have a passion for building tools that solve our clients most challenging and complex technical problems...
Postdoctoral Researcher - Computational Modeling of Catalysis,National Renewable Energy Laboratory,"Golden, CO",,"Fluency in at least one scientific programming stack (Python/R/MATLAB), including techniques for data manipulation and machine learning...."
Water Resources Engineer,Kleinfelder,"Denver, CO 80202 (Lodo area)",,"Prepping data for input into hydraulic and hydrologic modeling software using GIS, Excel, CAD, or other data processing software as well as oversee junior staff..."
Advanced Systems Manager Senior-Special Programs (661830),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Senior Analytics Engineer - Oracle Public Cloud,Oracle,"Broomfield, CO",,"We are seeking seasoned engineers or data scientists with:. Big data processing (Spark, etc.). Data acquisition (streaming and batch) and aggregation...."
Web Applications Developer Intern (661822),Ball Aerospace,"Lafayette, CO",,"Oracle databases, primarily accessing data through ADO.Net or EF. Primary UI developed to display data within grids with searching capabilities, along with..."
Postdoctoral Researcher Building Energy Science,National Renewable Energy Laboratory,"Golden, CO",,Relevant experience includes building energy modeling and experimental design and data collection. The candidate will work with other engineers and scientists...
RF Technician I (662236),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Enterprise Solutions Architect II: Classified IT Infrastructure (660993),Ball Aerospace,"Lafayette, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Advanced Systems Manager Senior-Special Programs (661830),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Senior Analytics Engineer - Oracle Public Cloud,Oracle,"Broomfield, CO",,"We are seeking seasoned engineers or data scientists with:. Big data processing (Spark, etc.). Data acquisition (streaming and batch) and aggregation...."
"Senior Manager, Laboratory & Analytical Services","WhiteWave Foods, Inc.","Louisville, CO",,"Ability to do simple math calculations, input data into a computer and analyze data is required. (3) Quality Scientists (1) Lab Supervisor...."
Medical Laboratory Technician,"SCHRYVER MEDICAL, LLC","Denver, CO 80239",,Reviews and interprets laboratory results and data. Must be a registered or certified Medical technologist or Clinical Laboratory Scientist or meet equivalency...
RF Technician I (662236),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Mission Analysis Manager-Advanced Technologies & Missions (662204),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Property Administrator I (662235),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Associate Architect or Architectural Engineer - Denver,"Wiss, Janney, Elstner Associates","Denver, CO",,"Organizes field data to facilitate analysis and problem solving. Ability to record data clearly and write passages for reports, letters, etc...."
Postdoctoral Researcher – CIGS Photovoltaic Materials and Devices,National Renewable Energy Laboratory,"Golden, CO",,"This is a collaborative and team-based project, with opportunities to work with scientists from NREL, academia, and industry...."
Big Data- Data Scientist,"Computer Enterprises, Inc.","Denver, CO 80202 (Lodo area)",$85 a day,"Responsibility• Responsible for gathering and assessing business information needs and preparing system requirements • Performs analyses, development and..."
Technician II-Production Test (661027),Ball Aerospace,"Westminster, CO",,"Will collect and analyze computer data and make data based decisions. Monitor, analyze, reduce and record data;..."
RF Range Technician II (662041),Ball Aerospace,"Westminster, CO",,"Monitor, analyze, reduce and record data; Process and plot required Range data files as defined. Our team of more than 3,000 engineers, scientists, technicians..."
Range Technician II (661517),Ball Aerospace,"Westminster, CO",,"Monitor, analyze, reduce and record data; Process and plot required Range data files as defined. Our team of more than 3,000 engineers, scientists, technicians..."
Clinical Research Coordinator,University of Colorado,"Aurora, CO",,"E.g. Principal Investigator, Study Sponsor, FDA, Data and Safety Monitoring Committee (DSMC), Regulatory Affairs Coordinator...."
"Senior Food Scientist, Product Development Innovation",Dean Foods,"Broomfield, CO 80021",,Strategic and tactical decision-making ability using sound scientific principles and data analytics. As a team member of the largest dairy company in the U.S....
Program Manager I (662315),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Project Manager I - ND Operations (662051),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Technician III - Assembly (661312),Ball Aerospace,"Westminster, CO",,"Apply solid computer skills to access & input data via computer interface or automated equipment. Our team of more than 3,000 engineers, scientists, technicians..."
Pivotal Cloud Foundry SME,NBI Resources,"Aurora, CO",,Experience with data storage and data backup technologies. Our core team of Computer scientists and Data Engineers have a passion for building tools that solve...
Technician III-Environmental Stress Screening (661970),Ball Aerospace,"Westminster, CO",,"Monitor, analyze, reduce, and record data. Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball..."
Senior Talent Acquisition Manager - Aerospace Division (659637),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Program Manager II - Tactical Solutions Programs (662034),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Talent Acquisition Specialist I - Sourcer (662205) (CWN),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Developer - Machine Learning,Cap Global,"Denver, CO 80204 (Central West Denver area)",$85 an hour,"Bash) · Excellent understanding of statistical techniques and experimental design, including linear, and non-linear regression, logit/probit, PCA, generalized..."
Technician IV-Production (661587),Ball Aerospace,"Westminster, CO",,"Apply solid computer skills to access and input data via computer interface or automated equipment. Our team of more than 3,000 engineers, scientists,..."
Principal Systems Administrator - Enterprise Applications (662231),Ball Aerospace,"Lafayette, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Program Security Officer I (661641) - Security clearance required,Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Electro-Optical and Infrared Advanced Systems Manager (661374),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Accountant II-Travel Accounting (661693),Ball Aerospace,"Lafayette, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Range Engineer I (662148),Ball Aerospace,"Westminster, CO","Estimated salary: $72,000 - $92,000 a year","Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Phased Array Engineer I (661949),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Engineer I-Materials & Processes (661919),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Structural Engineer I (661894),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Principal Systems Administrator - Enterprise Applications (662231),Ball Aerospace,"Lafayette, CO","Estimated salary: $65,000 - $82,000 a year","Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Analog/Digital Engineer I (662280),Ball Aerospace,"Westminster, CO","Estimated salary: $83,000 - $106,000 a year","Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
