position,company,location,salary,summary
"Applied Research Scientist, Speech Recognition Language Modeling",Facebook,"Menlo Park, CA",,Create language models from large corpora of text data in different languages using Hadoop/Hive. Facebook is seeking a Speech Recognition Research Scientist to...
"Applied Research Scientist, Speech Recognition Acoustic Modeling",Facebook,"Menlo Park, CA",,Facebook is seeking Speech Recognition Research Scientist to join our Speech Team in Menlo Park. Optimizing acoustic model training procedures especially...
Data Scientist,Teradata,"Santa Clara, CA",,Collaborate with data science team to evaluate model and data. Teradata is seeking an experienced data scientist to join the Technology & Innovation Office....
Data Scientist,Hewlett Packard Enterprise,"Santa Clara, CA",,Looking for a Data Scientist who can provide insights into data and help us build a better product! 6+ years Python or R development experience Excellent...
Data Scientist,NVIDIA,"Santa Clara, CA",,"Mine massive amounts of data and perform large-scale data analysis to derive useful business insights into product, customer, and market behavior...."
Data Scientist,Huawei,"Santa Clara, CA",,"Help to evolve large scale Big Data platform and tools in all aspects, from data collection to data processing, exploration, visualization and modeling...."
Deep Learning Software Engineer,Bosch Group,"Palo Alto, CA",,"Collaborate with other data scientist and data engineers to design, prioritize and implement new features for our AI platform to solve real customer problems...."
Quantitative Research Analyst – Fixed Income - Credit,Franklin Templeton Investments,"San Mateo, CA 94403 (Sugerloaf area)",,Using attribution data to provide feedback to current strategies. Quantitative Research Analyst – Fixed Income - Credit-820026....
Physics Based Machine Learning Research Scientist,KLA-Tencor,"Milpitas, CA 95035",,Write production modeling code at scale for high data rate systems. Design and perform experimental data analysis to gain deep understanding of the problem....
"Scientist, Population Genetics","23andMe, Inc.","Mountain View, CA 94041",,We are seeking a team member who is excited to glean insights from the genetic data of over three million 23andMe customers....
Supply Chain Business & Data Analyst,Shutterfly,"Redwood City, CA",,"5+ years experience as a business analyst, data scientist or similar job function, including 2+ years of relevant experience with data mining, SQL, building..."
Deep Learning Software Engineer,Bosch Group,"Palo Alto, CA",,"Collaborate with other data scientist and data engineers to design, prioritize and implement new features for our AI platform to solve real customer problems...."
Data Engineer,Zipcar,"San Mateo, CA",,Data pipelines (e.g. Data processing frameworks (e.g. Contribute to data architecture and technology decisions with expert understanding of data engineering...
Advanced Metrology Algorithms (Machine Learning) Developers - (E5),Applied Materials Inc.,"Santa Clara, CA",,Proven analytical abilities to derive verifiable conclusions (simulate models) from large amounts of real-world data....
"Applied Research Scientist, Speech Recognition Language Modeling",Facebook,"Menlo Park, CA",,Create language models from large corpora of text data in different languages using Hadoop/Hive. Facebook is seeking a Speech Recognition Research Scientist to...
"Applied Research Scientist, Speech Recognition Acoustic Modeling",Facebook,"Menlo Park, CA",,Facebook is seeking Speech Recognition Research Scientist to join our Speech Team in Menlo Park. Optimizing acoustic model training procedures especially...
AI Developer Technology Engineer,NVIDIA,"Santa Clara, CA",,"Artificial intelligence, the dream of computer scientists for over half a century, is no longer science fiction...."
Natural Language Processing Scientist (University Grad),Electronic Arts,"Redwood City, CA 94065",,"Our next NLP Scientist at EA should have:. Our group develops AI and data driven solutions to game team. From data modeling to agent building, we utilize a..."
Research Scientist,Intel,"Santa Clara, CA 95052",,Visual data processing. This is an Intel contract employee (ICE) position....
"Senior Data Scientist, Machine Learning",MachineZone,"Palo Alto, CA",,"As a Data scientist on our Marketing Engineering team, you will design predictive Machine Learning Algorithms on very large data sets, involving billions of..."
"Sr. Data Scientist, Machine Learning Applications",Adobe,"San Jose, CA",,Familiarity working with large-scale data sets and big data techniques would be a plus. Adobe is looking for a Senior Data Science Engineer who will be building...
Playground Global - Research Intelligence Analyst,playground.global,"Palo Alto, CA",,Interpret data and present research findings. Support portfolio companies requests with data and category knowledge....
Sr Data Analyst – VUDU,Walmart eCommerce,"Sunnyvale, CA",,"Sr Data Analyst – VUDU. Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to..."
Data Sciences Engineer - Machine Learning Systems,A9.com,"Palo Alto, CA",,Our data platform processes massive data sets to develop business intelligence and analytics that are critical for the efficiency and profitability of our...
Machine Learning Engineer,Automation Anywhere,"San Jose, CA 95131 (North Valley area)",,The Cognitive Engineering team is made up of engineers and data scientists intensely focused on the problem of analyzing image documents....
Research & Development Scientist and Engineer 2,Stanford University,"Stanford, CA 94305",,The position involves working with a team of data scientists and engineers to examine pressing issues in public policy....
"Director of Product Marketing, Machine Learning",ServiceNow,"Santa Clara, CA 95054",,"Director of Product Marketing, Machine Learning Santa Clara, CA This position reports to: Senior Director of Product Marketing ServiceNow is changing the way..."
Data Scientist - Engineer II,Seagate,"Fremont, CA",,Perform hands-on data analysis and modeling with huge data sets. Process manufacturing data to establish correlation between tool data and metrology....
Intern - Research Scientist (PhD),Visa,"Palo Alto, CA",,"Secure Data Acquisition and Analysis. Data Analytics, Security, and Future of Payment. Experience with large scale data processing using Hadoop and MapReduce...."
Sr Data Scientist/ Research Technologist,Comcast,"Sunnyvale, CA 94089",,"To better serve our community, we believe the diversity of our team should reflect the diversity of our customers.Desired Qualifications- Bachelor's degree in..."
Senior Data Scientist - SDAS01,"Cavium, Inc.","San Jose, CA",,"The Senior Data Scientist, will be working as part of a dynamic team to analyze machine learning frameworks, and applications...."
Deep Learning/Machine Learning Engineer,Intellipro Group Inc.,"Cupertino, CA",,"Job Title: / Location: : Cupertino, CA or Shenzhen, China Client introduction: Roadstar.ai Google, Tesla, Apple, Nvidia, Baidu USA Level 4 Roadstar.ai..."
Research Scientist,"A2Z Development Center, Inc.","Sunnyvale, CA",,"Research Scientists at Amazon work directly with diverse scientific teams including Computer Engineers, Data Engineers and other scientists...."
Data Science and Machine Learning Software Engineer,NetApp,"Sunnyvale, CA",,"Strong aptitude for learning new technologies related to Data Management and Data Science. As the leading data management company, NetApp collects petabytes of..."
"Software Engineer, Machine Learning",Comcast,"Sunnyvale, CA 94089",,"The ideal candidate will have experience working as a technical lead or junior team members in a start-up, industrial, government, or academic lab setting on..."
Machine Learning Software Engineer Intern,Raytheon,"Sunnyvale, CA",,"Raytheon Applied Signal Technology has a need for a Software Engineering Intern to help design, build, test, and maintain machine learning software for the..."
Data Scientist,"Faraday Future, Inc.","San Jose, CA",,"Experience with Spark, Hadoop & Other big data tools. Use Stats, Machine Learning, Math and CS to help design the car and its sensors, gain insight into..."
Data Scientist,"Viewics, Inc","San Jose, CA",,Skills in data visualization. Experience working with messy real-world data. Experience with data modeling principles and techniques....
Data Scientist (mid to senior level),Personal Capital,"San Carlos, CA 94070",,"5+ years of professional experience as a Data Scientist. Further, you will leverage large data sets and create ETL pipelines to support our Data Warehouse/Data..."
Principal Data Scientist,Walmart eCommerce,"Sunnyvale, CA",,This request is for a Principal Data Scientist to drive the strategy for comprehensive data flows' anomaly detection....
"Software Engineer, Computer Vision and Machine Learning",Osmo,"Palo Alto, CA",,"Tangible Play, Inc. seeks Software Engineer, Computer Vision and Machine Learning in Palo Alto, CA to be responsible for researching, developing, and..."
Computational Research Associate,Stanford University,"Stanford, CA 94305",,"The candidate will interact with other computational scientists, as well as experimental biologists and clinicians to test, validate, and refine hypotheses...."
Data Scientist,Mist Systems,"Cupertino, CA",,Mist is looking for an entrepreneurial Data Scientist to help define and develop the next generation cloud mobile analytic platform....
Software and Analytics Scientist,Exponent,"Menlo Park, CA 94025",,"Exponent’s Statistical & Data Sciences Practice is currently hiring a Scientist with expertise in Machine Learning, Data Analytics, and Software Development...."
Associate,Exponent,"Menlo Park, CA 94025",,"Our multidisciplinary team of scientists, engineers, physicians, and regulatory consultants brings together more than 90 different disciplines to solve..."
Data Scientist,Siemens AG,"Foster City, CA",,The data scientist will support the growing analytical needs of the company as customer data collection efforts expand....
Data Scientist,Fanatics Inc.,"San Mateo, CA",,"Ability to use SQL to perform data analysis. At Fanatics, we are passionate about leveraging data to drive growth and operational efficiencies...."
