position,company,location,salary,summary
Quality Control Manager,Bristol Companies,"Golden, CO",,"Ability to gather and analyze data, reason logically and creatively, draw conclusions and make appropriate recommendations...."
Quality Control Manager,Bristol Alliance of Companies,"Golden, CO",,"Ability to gather and analyze data, reason logically and creatively, draw conclusions and make appropriate recommendations...."
Postdoctoral Researcher - Computational Modeling of Catalysis,National Renewable Energy Laboratory,"Golden, CO",,"Fluency in at least one scientific programming stack (Python/R/MATLAB), including techniques for data manipulation and machine learning...."
Scientist Process Engineering,UPSHER SMITH,"Denver, CO",,Tabulate and perform statistical analysis of all study data. The Technical Services Scientist - Process Engineering supports activities related to the...
Material Planner (661698),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Quality Control Manager,Bristol Companies,"Golden, CO",,"Ability to gather and analyze data, reason logically and creatively, draw conclusions and make appropriate recommendations...."
Quality Control Manager,Bristol Alliance of Companies,"Golden, CO",,"Ability to gather and analyze data, reason logically and creatively, draw conclusions and make appropriate recommendations...."
Data Analyst/Scientist,"Computer Enterprises, Inc.","Centennial, CO 80112",$80 a day,"Responsible for gathering and assessing business information needs and preparing system requirements • Performs analyses, development and evaluation of data..."
Data Scientist/Analyst,"Computer Enterprises, Inc.","Centennial, CO 80112",$85 a day,"Identify relevant data sources from data warehouses, application logs, partner data sources, research reports, surveys, etc. and able to lead integration into..."
Postdoctoral Researcher - Computational Modeling of Catalysis,National Renewable Energy Laboratory,"Golden, CO",,"Fluency in at least one scientific programming stack (Python/R/MATLAB), including techniques for data manipulation and machine learning...."
Mobile Application Developer,Sound Advice Consulting Services,"Denver, CO",,"Team up with our data scientist and analytics guru to help us understand how learners use our product, and how we can give them an even better experience...."
Postdoctoral Researcher Building Energy Science,National Renewable Energy Laboratory,"Golden, CO",,Relevant experience includes building energy modeling and experimental design and data collection. The candidate will work with other engineers and scientists...
Water Resources Engineer,Kleinfelder,"Denver, CO 80202 (Lodo area)",,"Prepping data for input into hydraulic and hydrologic modeling software using GIS, Excel, CAD, or other data processing software as well as oversee junior staff..."
Data Analyst/Scientist,"Computer Enterprises, Inc.","Centennial, CO 80112",$80 a day,"Responsible for gathering and assessing business information needs and preparing system requirements • Performs analyses, development and evaluation of data..."
Data Scientist/Analyst,"Computer Enterprises, Inc.","Centennial, CO 80112",$85 a day,"Identify relevant data sources from data warehouses, application logs, partner data sources, research reports, surveys, etc. and able to lead integration into..."
Clinical Research Coordinator,University of Colorado,"Aurora, CO",,"E.g. Principal Investigator, Study Sponsor, FDA, Data and Safety Monitoring Committee (DSMC), Regulatory Affairs Coordinator...."
"Director, Product Development & QA",Red Robin,"Greenwood Village, CO 80111",,Ability to interpret statistics and research data and apply it to Red Robin's needs. Knowledge of food manufacturing processes and ability to effectively...
Pivotal Cloud Foundry SME,NBI Resources,"Aurora, CO",,Experience with data storage and data backup technologies. Our core team of Computer scientists and Data Engineers have a passion for building tools that solve...
Advanced Systems Manager Senior-Special Programs (661830),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Senior Analytics Engineer - Oracle Public Cloud,Oracle,"Broomfield, CO",,"We are seeking seasoned engineers or data scientists with:. Big data processing (Spark, etc.). Data acquisition (streaming and batch) and aggregation...."
RF Technician I (662236),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Property Administrator I (662235),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Postdoctoral Researcher – CIGS Photovoltaic Materials and Devices,National Renewable Energy Laboratory,"Golden, CO",,"This is a collaborative and team-based project, with opportunities to work with scientists from NREL, academia, and industry...."
Mission Analysis Manager-Advanced Technologies & Missions (662204),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Technician III - Assembly (661312),Ball Aerospace,"Westminster, CO",,"Apply solid computer skills to access & input data via computer interface or automated equipment. Our team of more than 3,000 engineers, scientists, technicians..."
Developer - Machine Learning,Cap Global,"Denver, CO 80204 (Central West Denver area)",$85 an hour,"Bash) · Excellent understanding of statistical techniques and experimental design, including linear, and non-linear regression, logit/probit, PCA, generalized..."
Technician III-Environmental Stress Screening (661970),Ball Aerospace,"Westminster, CO",,"Monitor, analyze, reduce, and record data. Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball..."
"Senior Food Scientist, Product Development Innovation",Dean Foods,"Broomfield, CO 80021",,Strategic and tactical decision-making ability using sound scientific principles and data analytics. As a team member of the largest dairy company in the U.S....
Program Manager I (662315),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Project Manager I - ND Operations (662051),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Clinical Research Coordinator,University of Colorado,"Aurora, CO",,"E.g. Principal Investigator, Study Sponsor, FDA, Data and Safety Monitoring Committee (DSMC), Regulatory Affairs Coordinator...."
Postdoctoral Researcher – CIGS Photovoltaic Materials and Devices,National Renewable Energy Laboratory,"Golden, CO",,"This is a collaborative and team-based project, with opportunities to work with scientists from NREL, academia, and industry...."
Medical Laboratory Technician,"SCHRYVER MEDICAL, LLC","Denver, CO 80239",,Reviews and interprets laboratory results and data. Must be a registered or certified Medical technologist or Clinical Laboratory Scientist or meet equivalency...
Program Manager II - Tactical Solutions Programs (662034),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Senior Talent Acquisition Manager - Aerospace Division (659637),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Technician IV-Production (661587),Ball Aerospace,"Westminster, CO",,"Apply solid computer skills to access and input data via computer interface or automated equipment. Our team of more than 3,000 engineers, scientists,..."
"Director, Product Development & QA",Red Robin,"Greenwood Village, CO 80111",,Ability to interpret statistics and research data and apply it to Red Robin's needs. Knowledge of food manufacturing processes and ability to effectively...
Pivotal Cloud Foundry SME,NBI Resources,"Aurora, CO",,Experience with data storage and data backup technologies. Our core team of Computer scientists and Data Engineers have a passion for building tools that solve...
Program Security Officer I (661641) - Security clearance required,Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Talent Acquisition Specialist I - Sourcer (662205) (CWN),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Associate Architect or Architectural Engineer - Denver,"Wiss, Janney, Elstner Associates","Denver, CO",,"Organizes field data to facilitate analysis and problem solving. Ability to record data clearly and write passages for reports, letters, etc...."
